strategy_id;strategy_name
S3257;claing
S3259;lie
S3261;narrative
S3267;cover
S3269;furies cover
S3270;suffragists cover
S3271;canadian suffragists cover
S3275;warn
S3278;book happen
S3279;wa meet
S3280;woman live
S3281;many woman live
S3282;woman live there
S3284;float
S3285;claim wa
S3286;one float
S3289;eat
S3291;campaign get
S3294;proportion be
S3295;high proportion be
S3296;nursing
S3297;having
S3298;wondering
S3303;day have
S3304;boob be
S3305;endless day have
S3306;boob be ever
S3312;harm
S3313;tell be
S3314;body be
S3315;own body be
S3321;preying
S3325;campaign be
S3326;campaign be silly
S3329;problem be
S3338;wrack
S3339;picture be
S3346;earth be
S3347;time make
S3350;reality be
S3351;breastfeeding
S3355;struggle
S3357;baby be
S3362;nurse
S3364;expect
S3367;suppose
S3370;meal think
S3371;healthy meal think
S3373;slab
S3375;tie
S3379;baby try
S3380;first baby try
S3383;paternity leave
S3386;long paternity leave
S3389;mum worry
S3390;new mum worry
S3391;mum worry about
S3393;hit
S3397;kid have n't
S3398;ditch
S3404;scaremongering
S3407;mum focus
S3408;new mum focus
S3414;oversee
S3418;midwife oversee
S3419;thing eat
S3420;burger be
S3421;only thing eat
S3423;advocate
S3428;grab
S3429;apple be
S3432;overhaul
S3434;time overhaul
S3435;diet become
S3437;whilst 're
S3438;swallow
S3439;pill swallow
S3445;concern 're
S3446;way help
S3447;period doe
S3450;year be
S3453;encourage
S3458;pharmacy ask
S3459;local pharmacy ask
S3461;debate be
S3462;debate be no
S3465;miracle find
S3466;gorge
S3467;live 'm
S3468;much live 'm
S3469;live 'm not
S3471;bland
S3472;salad be
S3473;salad be n't
S3476;roast
S3477;potato
S3478;prepare once
S3479;prepare once 've
S3482;alternate
S3483;deserve
S3485;surviving
S3486;blog surviving
S3488;perform
S3491;straddle
S3492;sacred
S3493;scene go
S3494;s “
S3495;album straddle
S3496;line sacred
S3497;double-platinum album straddle
S3498;spawn
S3500;is
S3501;debut
S3502;hit live
S3504;spark
S3506;typical
S3507;three-minute
S3508;gold spark
S3509;radio hit
S3511;provided
S3513;knows
S3514;discus
S3516;receive
S3519;miscarriage
